CurrentProb,Positive,SampleID,InitialProb,UserKey,ProviderID,numTest
0.01,Unknown,i0-0.01,0.01,40ad345e32d748e48a311cac0960d2ce,1,1
0.01,Unknown,i1-0.01,0.01,731d51ca7210446998daeee314bb1a27,1,1
0.01,Unknown,i2-0.01,0.01,9541db59352a47d9bb9644f17aa9f38e,1,1
0.01,Unknown,i3-0.01,0.01,330ea483d8f44e5b941942bd96f3ef83,1,1
0.01,Unknown,i4-0.01,0.01,1b731773ac644271a6f33977f1d5d798,1,1
0.01,Unknown,i5-0.01,0.01,25c8fb27f6124ed2866d1403afe45af9,1,1
0.01,Unknown,i6-0.01,0.01,8104ad88601f4f09a1472838ae2caf66,1,1
0.01,Unknown,i7-0.01,0.01,c3598d31082b447b9089e052c0e15de8,1,1
0.01,Unknown,i8-0.01,0.01,61a1d877d53e439c9167cade25399619,1,1
0.01,Unknown,i9-0.01,0.01,c0515c0fb6304fcda59d63d41ca4ceec,1,1
0.01,Unknown,i10-0.01,0.01,002d959cc40d4bc284923eb99fb00aa3,1,1
0.01,Unknown,i11-0.01,0.01,e234840f1bcf488c8c23f0b3975459dc,1,1
0.01,Unknown,i12-0.01,0.01,b3f60e44bbd74803b4bfa32c2ce4fb74,1,1
0.01,Unknown,i13-0.01,0.01,93b62d5980a744c88a1d10a0cf256b78,1,1
0.01,Unknown,i14-0.01,0.01,83c951e252b54680b262a71368411613,1,1
0.01,Unknown,i15-0.01,0.01,9324bac3cafc42209a32ec6e0900ec57,1,1
0.01,Unknown,i16-0.01,0.01,07aee89c14a441509633b4fbc4a631df,1,1
0.01,Unknown,i17-0.01,0.01,b6997274b4074129a95f7d314bca6b82,1,1
0.01,Unknown,i18-0.01,0.01,9428b837425c4bf5bd3c334fa79971a3,1,1
0.01,Unknown,i19-0.01,0.01,663553397b3649479b066a38ad8b119b,1,1
0.01,Unknown,i20-0.01,0.01,e8a6eb5786394bdd8553849afc0b3170,1,1
0.01,Unknown,i21-0.01,0.01,fa3b2291fba843cf82b0da5c5b9212e9,1,1
0.01,Unknown,i22-0.01,0.01,14d528ceec1d44cebda5b990d9161824,1,1
0.01,Unknown,i23-0.01,0.01,d07609f51d76429a90d5bb086351d0d0,1,1
0.01,Unknown,i24-0.01,0.01,bf78bcade90949eda3c0c33747d5b6cb,1,1
0.01,Unknown,i25-0.01,0.01,90acb6b15ece4c3cad046f7f47250e83,1,1
0.01,Unknown,i26-0.01,0.01,93e62ae6500d4536aeaa6af081e5590b,1,1
0.01,Unknown,i27-0.01,0.01,89564c9e7a724368b9dc3203ec010d5f,1,1
0.01,Unknown,i28-0.01,0.01,d85655a8c4824b8a80b939b8577a188a,1,1
0.01,Unknown,i29-0.01,0.01,ade6cfb3c6554aa38abbdf7aefbe6e5e,1,1
0.01,Unknown,i30-0.01,0.01,7c02d4193851425385c8adf5d46cd417,1,1
0.01,Unknown,i31-0.01,0.01,31ca90c38fee471b80203f864d7e5702,1,1
0.01,Unknown,i32-0.01,0.01,f1c55fa862434202a71a6942ac7639c6,1,1
0.01,Unknown,i33-0.01,0.01,8319b15230964cea8a04d9d4341a4fc4,1,1
0.01,Unknown,i34-0.01,0.01,34dcf263be744129b47d17f4a586fd4a,1,1
0.01,Unknown,i35-0.01,0.01,6c520eb9172f47cfaa875d8308266935,1,1
0.01,Unknown,i36-0.01,0.01,e2fd4f394e004439afa991b3a9630eb6,1,1
0.01,Unknown,i37-0.01,0.01,cd0f849d7e984a43a2068c3bad2efce7,1,1
0.01,Unknown,i38-0.01,0.01,c5ab73ca9f2843ff8b6c91d0d136e413,1,1
0.01,Unknown,i39-0.01,0.01,81c52bd18cfc4d0d825e519e79e113fa,1,1
0.01,Unknown,i40-0.01,0.01,369e50cdcb504efea35f1be502d76238,1,1
0.01,Unknown,i41-0.01,0.01,8428ffe9545b4851baaddfdf47ffdbb5,1,1
0.01,Unknown,i42-0.01,0.01,079cfa94daaf48f8af49b654988622f3,1,1
0.01,Unknown,i43-0.01,0.01,95886f72c22245a1a3bc30f93e0ebe4b,1,1
0.01,Unknown,i44-0.01,0.01,9f7ff00474c94ca1a220eea640daa2ba,1,1
0.01,Unknown,i45-0.01,0.01,56916f0f893f4b169e62b6cf1010f4a8,1,1
0.01,Unknown,i46-0.01,0.01,8de9a32e954e4848afc97b20b51a44b5,1,1
0.01,Unknown,i47-0.01,0.01,f2d733c0dea04625ae4f313039659941,1,1
0.01,Unknown,i48-0.01,0.01,34bdec725e0e4ceba0e594c312b4f5f5,1,1
0.01,Unknown,i49-0.01,0.01,832d0b576d04494d9ed191fa8f4a4c12,1,1
0.01,Unknown,i50-0.01,0.01,cb3e9b29bdda46dbbad8adc791eb7f0d,1,1
0.01,Unknown,i51-0.01,0.01,bc7e988272344b91b28d3c3ce24fd1ac,1,1
0.01,Unknown,i52-0.01,0.01,7e112629566745a39528535ace5117da,1,1
0.01,Unknown,i53-0.01,0.01,8792755dd5df4d6080dbb6b3adb48ce2,1,1
0.01,Unknown,i54-0.01,0.01,d0069cc42ada4c3b82fb2b83a8650fc9,1,1
0.01,Unknown,i55-0.01,0.01,4f5de7c092e14979a8d6468bcf0f414b,1,1
0.01,Unknown,i56-0.01,0.01,1afb901b6de741548733434bdac4b0cd,1,1
0.01,Unknown,i57-0.01,0.01,fc908a21da8f44eca05758cf32eb7ab6,1,1
0.01,Unknown,i58-0.01,0.01,6c125f0cd4ac47c08bc8b33a263f375f,1,1
0.01,Unknown,i59-0.01,0.01,a44ac9ff26ac4536b61cf175c7151946,1,1
0.01,Unknown,i60-0.01,0.01,2c1712623b1848cda931b8c3faa6c7e7,1,1
0.01,Unknown,i61-0.01,0.01,a5a64fadf7654013b12f882d2944b9eb,1,1
0.01,Unknown,i62-0.01,0.01,33783b7c289b42d4ac776a3a262a2aaa,1,1
0.01,Unknown,i63-0.01,0.01,b5343d6eece84caaa960f362c2e9bbc2,1,1
0.01,Unknown,i64-0.01,0.01,33bb2260e03c41f2a9dabc8ebd12eb8e,1,1
0.01,Unknown,i65-0.01,0.01,b000e52dccf44f84ab31e51afd3089e3,1,1
0.01,Unknown,i66-0.01,0.01,3eea6f8e82bb426d82f2cccce2db6f14,1,1
0.01,Unknown,i67-0.01,0.01,744d022769e54432976458dcc484eeff,1,1
0.01,Unknown,i68-0.01,0.01,aaeec76774f84134a2389d801f3db3fa,1,1
0.01,Unknown,i69-0.01,0.01,8de790f71f2d4ab192323e6f57ab38f3,1,1
0.01,Unknown,i70-0.01,0.01,5e2799c2c687431488ec5c82ff33310b,1,1
0.01,Unknown,i71-0.01,0.01,5784a3be37094a89bde62720b380917f,1,1
0.01,Unknown,i72-0.01,0.01,b124f592635d46aeb0c1f33d8fd36537,1,1
0.01,Unknown,i73-0.01,0.01,f246622f91584b1e87ea474afb6e9ac3,1,1
0.01,Unknown,i74-0.01,0.01,ec5e72590f43413da6e598f29cfc9372,1,1
0.01,Unknown,i75-0.01,0.01,7b1ad868d2484066b46e5f02a5bb0f34,1,1
0.01,Unknown,i76-0.01,0.01,73f5d4f77a5a4113a9392aee0caf187b,1,1
0.01,Unknown,i77-0.01,0.01,762cad3bbee04492932748929a98b93f,1,1
0.01,Unknown,i78-0.01,0.01,2ac08f29240d49849d9d957d6e2084af,1,1
0.01,Unknown,i79-0.01,0.01,48ef5d865d494da697d25783715635b2,1,1
0.01,Unknown,i80-0.01,0.01,6700e67a7c7d48588f06dffac1bd37a9,1,1
0.01,Unknown,i81-0.01,0.01,e8d45d9838a24efe86ae7dba99a50d23,1,1
0.01,Unknown,i82-0.01,0.01,2212b371be4244eaac88212a1ad818c0,1,1
0.01,Unknown,i83-0.01,0.01,875be2101dd14597bd6884771d64ce86,1,1
0.01,Unknown,i84-0.01,0.01,4848d136ab3e44698716a0104c0240a5,1,1
0.01,Unknown,i85-0.01,0.01,f037e04988b14ded82d7fe77ba4afa5c,1,1
0.01,Unknown,i86-0.01,0.01,e744b9a4ed934f8094662c2b6fc6277b,1,1
0.01,Unknown,i87-0.01,0.01,6935f4e8728749e5898e82767b720196,1,1
0.01,Unknown,i88-0.01,0.01,5c7d896812ca4233885bef579ab09df3,1,1
0.01,Unknown,i89-0.01,0.01,3f843a90f1224f7da0e520fab3eb6807,1,1
0.01,Unknown,i90-0.01,0.01,53d78eeb618043ea8e32aa67d896971b,1,1
0.01,Unknown,i91-0.01,0.01,18bac9b2c0d441e382400e196b9d9f02,1,1
0.01,Unknown,i92-0.01,0.01,386298a928894cb1b82c3fe7053eb5ba,1,1
0.01,Unknown,i93-0.01,0.01,4b2f007d6c99451da2c2c7e67021c6b6,1,1
0.01,Unknown,i94-0.01,0.01,d315a3e1a2f44582b7f988291044d49c,1,1
0.01,Unknown,i95-0.01,0.01,90589e66cb6949ab98cbe2e990414664,1,1
0.01,Unknown,i96-0.01,0.01,fe1b71dda0c74313a165ade546a83a8b,1,1
0.01,Unknown,i97-0.01,0.01,ac69dae6391c447781424424830ec7ae,1,1
0.01,Unknown,i98-0.01,0.01,739b0ca612aa4b8490419e190c227379,1,1
0.01,Unknown,i99-0.01,0.01,09e942ce16b74826993893b0f88e177c,1,1
0.2,Unknown,i0-0.2,0.2,97cc4f510aa844d385c7facf0d56772b,2,1
0.2,Unknown,i1-0.2,0.2,04a432a205d948b79b823cb3660039f7,2,1
0.2,Unknown,i2-0.2,0.2,3c8436f179274fecaec55f3f18605a22,2,1
0.2,Unknown,i3-0.2,0.2,cb72334534a04a258f29e61482e40f45,2,1
0.2,Unknown,i4-0.2,0.2,8015174078b84d75b0241eca37d6261f,2,1
0.2,Unknown,i5-0.2,0.2,d19396e924bf40fdb0d0658eaf5a1fbd,2,1
0.2,Unknown,i6-0.2,0.2,90bde28db7844eefb83750d5012fbf86,2,1
0.2,Unknown,i7-0.2,0.2,0d08513b14d8410696e92b06f7c5d723,2,1
0.2,Unknown,i8-0.2,0.2,a18f12ab68fc4d12aa7461927d021f64,2,1
0.2,Unknown,i9-0.2,0.2,4e5da19bf9fb4fe085451e3d8f1a3f25,2,1
0.2,Unknown,i10-0.2,0.2,10eae64ae68d4d84b37a6705c1d3f9cc,2,1
0.2,Unknown,i11-0.2,0.2,b6f13984f9064b7a82289ffbcf201a43,2,1
0.2,Unknown,i12-0.2,0.2,2751c1b0472c4297afdb3b63cd7927fa,2,1
0.2,Unknown,i13-0.2,0.2,740226bc93fb4e7c9910ebbba939cb73,2,1
0.2,Unknown,i14-0.2,0.2,359d59c3f0a24347acdbacc1537a1837,2,1
0.2,Unknown,i15-0.2,0.2,012284665ff741c396175582460b37a0,2,1
0.2,Unknown,i16-0.2,0.2,0f553909a4c840cd98e4ce96fb9931ee,2,1
0.2,Unknown,i17-0.2,0.2,a787ad0bc2d4437c8d2f08115dae0754,2,1
0.2,Unknown,i18-0.2,0.2,af22bfc9ded745f79e50cc88c68d0831,2,1
0.2,Unknown,i19-0.2,0.2,996781fb403a480cb3a14ccfdfaffe88,2,1
